date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:09:22	5035/5035	---M--	200	added ('OK')	text/css	etag:%22ce3d44-13ab-58d078ccbb080%22	http://radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/DataTables-1.10.16/css/dataTables.bootstrap4.min.css	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/DataTables-1.10.16/css/dataTables.bootstrap4.min.css	(from http://radixtouch.in/templates/admin/aegis/source/light/datatables.html)
01:09:23	2078/2078	---M--	200	added ('OK')	application/javascript	etag:%22ce3d55-81e-58d078dbfd480%22	http://radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/DataTables-1.10.16/js/dataTables.bootstrap4.min.js	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/DataTables-1.10.16/js/dataTables.bootstrap4.min.js	(from http://radixtouch.in/templates/admin/aegis/source/light/datatables.html)
01:09:24	1298/1298	---M--	200	added ('OK')	application/javascript	etag:%22ce7957-512-58e6204155780%22	http://radixtouch.in/templates/admin/aegis/source/light/assets/js/page/datatables.js	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/js/page/datatables.js	(from http://radixtouch.in/templates/admin/aegis/source/light/datatables.html)
01:09:28	23214/23214	---M--	200	added ('OK')	application/javascript	etag:%22ce3d64-5aae-58d078f0f8600%22	http://radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/dataTables.buttons.min.js	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/dataTables.buttons.min.js	(from http://radixtouch.in/templates/admin/aegis/source/light/export-table.html)
01:09:29	29939/29939	---M--	200	added ('OK')	application/javascript	etag:%22ce3d61-74f3-58d078d644700%22	http://radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/buttons.flash.min.js	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/buttons.flash.min.js	(from http://radixtouch.in/templates/admin/aegis/source/light/export-table.html)
01:09:30	1398/1398	---M-Z	200	added ('OK')	application/x-javascript		http://radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/pdfmake.min.js	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/pdfmake.min.js	(from http://radixtouch.in/templates/admin/aegis/source/light/export-table.html)
01:09:48	123883/123883	---M--	200	added ('OK')	application/javascript	etag:%22ce3d65-1e3eb-58d078e1b6200%22	http://radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/jszip.min.js	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/jszip.min.js	(from http://radixtouch.in/templates/admin/aegis/source/light/export-table.html)
01:09:49	2587/2587	---M--	200	added ('OK')	application/javascript	etag:%22ce3d63-a1b-58d078c702300%22	http://radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/buttons.print.min.js	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/export-tables/buttons.print.min.js	(from http://radixtouch.in/templates/admin/aegis/source/light/export-table.html)
01:09:49	4155/4155	---M--	200	added ('OK')	text/css	etag:%22ce3d83-103b-58d0790222e80%22	http://radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/Select-1.2.4/css/select.bootstrap4.min.css	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/bundles/datatables/Select-1.2.4/css/select.bootstrap4.min.css	(from http://radixtouch.in/templates/admin/aegis/source/light/editable-table.html)
01:09:50	3883/3883	---M--	200	added ('OK')	application/javascript	etag:%22ce3d98-f2b-58d078bf61100%22	http://radixtouch.in/templates/admin/aegis/source/light/assets/bundles/editable-table/mindmup-editabletable.js	C:/My%20Web%20Sites/dash7/radixtouch.in/templates/admin/aegis/source/light/assets/bundles/editable-table/mindmup-editabletable.js	(from http://radixtouch.in/templates/admin/aegis/source/light/editable-table.html)
